iter	Passed	Remaining
640	3568	1998
641	3573	1992
642	3579	1987
643	3586	1982
644	3594	1978
645	3601	1973
646	3605	1967
647	3610	1961
648	3614	1955
649	3619	1948
650	3625	1943
651	3629	1937
652	3633	1930
653	3637	1924
654	3643	1918
655	3648	1913
656	3652	1906
657	3657	1900
658	3661	1894
659	3664	1887
660	3670	1882
661	3675	1876
662	3680	1870
663	3685	1864
664	3691	1859
665	3699	1855
666	3705	1849
667	3710	1843
668	3714	1837
669	3721	1833
670	3730	1829
671	3736	1823
672	3745	1819
673	3750	1813
674	3762	1811
675	3768	1806
676	3776	1801
677	3781	1796
678	3786	1790
679	3793	1785
680	3800	1780
681	3811	1777
682	3829	1777
683	3835	1772
684	3849	1770
685	3865	1769
686	3873	1764
687	3888	1763
688	3895	1758
689	3900	1752
690	3906	1746
691	3910	1740
692	3914	1734
693	3922	1729
694	3926	1723
695	3931	1717
696	3936	1711
697	3944	1706
698	3951	1701
699	3956	1695
700	3961	1689
701	3968	1684
702	3973	1678
703	3978	1672
704	3983	1666
705	3988	1660
706	3993	1655
707	3998	1649
708	4002	1642
709	4007	1636
710	4011	1630
711	4019	1625
712	4026	1620
713	4033	1615
714	4044	1612
715	4057	1609
716	4064	1604
717	4069	1598
718	4079	1594
719	4086	1589
720	4094	1584
721	4102	1579
722	4110	1575
723	4116	1569
724	4124	1564
725	4131	1559
726	4139	1554
727	4149	1550
728	4157	1545
729	4163	1540
730	4174	1536
731	4182	1531
732	4187	1525
733	4199	1521
734	4204	1516
735	4214	1511
736	4222	1506
737	4230	1502
738	4236	1496
739	4246	1491
740	4253	1486
741	4260	1481
742	4265	1475
743	4270	1469
744	4275	1463
745	4282	1458
746	4287	1452
747	4292	1446
748	4296	1439
749	4300	1433
750	4305	1427
751	4309	1421
752	4313	1414
753	4317	1408
754	4324	1403
755	4328	1396
756	4335	1391
757	4340	1385
758	4345	1379
759	4351	1374
760	4356	1368
761	4361	1362
762	4365	1356
763	4370	1349
764	4374	1343
765	4379	1337
766	4384	1331
767	4390	1326
768	4394	1319
769	4398	1313
770	4403	1307
771	4408	1302
772	4413	1296
773	4417	1289
774	4424	1284
775	4428	1278
776	4433	1272
777	4437	1266
778	4442	1260
779	4449	1254
780	4454	1249
781	4459	1243
782	4464	1237
783	4472	1232
784	4476	1226
785	4481	1220
786	4487	1214
787	4491	1208
788	4498	1202
789	4502	1196
790	4507	1190
791	4515	1185
792	4523	1180
793	4534	1176
794	4540	1170
795	4549	1166
796	4557	1160
797	4563	1155
798	4569	1149
799	4575	1143
800	4583	1138
801	4589	1133
802	4596	1127
803	4602	1121
804	4608	1116
805	4613	1110
806	4619	1104
807	4624	1098
808	4629	1092
809	4633	1086
810	4638	1080
811	4643	1075
812	4647	1068
813	4652	1063
814	4656	1057
815	4660	1050
816	4664	1044
817	4671	1039
818	4676	1033
819	4681	1027
820	4688	1022
821	4692	1016
822	4697	1010
823	4704	1004
824	4709	998
825	4715	993
826	4723	988
827	4730	982
828	4734	976
829	4739	970
830	4745	965
831	4750	959
832	4755	953
833	4759	947
834	4764	941
835	4770	935
836	4774	929
837	4782	924
838	4789	919
839	4799	914
840	4806	908
841	4816	903
842	4822	898
843	4829	892
844	4834	886
845	4842	881
846	4846	875
847	4853	869
848	4864	865
849	4874	860
850	4886	855
851	4894	850
852	4905	845
853	4913	839
854	4920	834
855	4927	828
856	4937	823
857	4945	818
858	4953	813
859	4964	808
860	4970	802
861	4984	797
862	4991	792
863	5005	787
864	5016	782
865	5024	777
866	5032	771
867	5047	767
868	5054	761
869	5065	756
870	5070	750
871	5075	744
872	5080	739
873	5084	733
874	5090	727
875	5097	721
876	5106	716
877	5113	710
878	5124	705
879	5131	699
880	5139	694
881	5147	688
882	5152	682
883	5159	677
884	5169	671
885	5180	666
886	5189	661
887	5200	655
888	5214	651
889	5223	645
890	5234	640
891	5243	634
892	5253	629
893	5260	623
894	5267	618
895	5272	612
896	5277	605
897	5283	600
898	5293	594
899	5299	588
900	5310	583
901	5315	577
902	5325	572
903	5332	566
904	5339	560
905	5352	555
906	5359	549
907	5365	543
908	5373	537
909	5380	532
910	5388	526
911	5398	520
912	5407	515
913	5412	509
914	5422	503
915	5426	497
916	5434	491
917	5439	485
918	5447	480
919	5462	474
920	5467	468
921	5471	462
922	5477	456
923	5499	452
924	5518	447
925	5535	442
926	5549	437
927	5561	431
928	5579	426
929	5590	420
930	5607	415
931	5615	409
932	5625	403
933	5634	398
934	5642	392
935	5649	386
936	5653	380
937	5658	374
938	5664	367
939	5669	361
940	5674	355
941	5679	349
942	5683	343
943	5692	337
944	5696	331
945	5702	325
946	5708	319
947	5712	313
948	5719	307
949	5724	301
950	5731	295
951	5735	289
952	5739	283
953	5745	277
954	5749	270
955	5752	264
956	5756	258
957	5761	252
958	5765	246
959	5769	240
960	5773	234
961	5778	228
962	5784	222
963	5789	216
964	5794	210
965	5798	204
966	5803	198
967	5808	192
968	5814	186
969	5818	179
970	5825	173
971	5829	167
972	5833	161
973	5841	155
974	5845	149
975	5849	143
976	5854	137
977	5859	131
978	5864	125
979	5871	119
980	5877	113
981	5882	107
982	5887	101
983	5892	95
984	5899	89
985	5904	83
986	5910	77
987	5931	72
988	5943	66
989	5949	60
990	5955	54
991	5963	48
992	5968	42
993	5975	36
994	5980	30
995	5986	24
996	5990	18
997	5994	12
998	5998	6
999	6003	0
